player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year
Scott Kazmir,Texas,1,6-0,175,L/L,"Houston, TX",Rd 1 by Mets (2002),Rays (2004),ildcats,NULL,2002
BJ (Melvin) Upton,Florida State,2,6-3,175,R/R,"Chesapeake, VA",Rd 1 by Rays (2002),Rays (2004),None,NULL,2002
Adam Loewen,None,3,6-6,220,L/L,"Surrey, BC",Rd 1 by Orioles (2002),Orioles (2006),None,NULL,2002
Christopher Gruler,Arizona State,4,6-3,195,R/R,"Brentwood, CA",Rd 1 by Reds (2002),None,Nor Cal,NULL,2002
Zack Greinke,Clemson,5,6-2,185,R/R,"Apopka, FL",Rd 1 by Royals (2002),Royals (2004),None,NULL,2002
Jason Neighborgall,Georgia Tech,6,6-5,190,R/R,"Hillsborough, NC",Rd 3 by Diamondbacks (2005),None,None,NULL,2002
Mark McCormick,Baylor,7,6-2,195,R/R,"Clear Lake Shore, TX",Rd 1 by Cardinals (2005),None,None,NULL,2002
Jeff Francoeur,Clemson,8,6-4,200,R/R,"Lilburn, GA",Rd 1 by Braves (2002),Braves (2005),None,NULL,2002
Denard Span,None,9,6-0,170,L/L,"Tampa, FL",Rd 1 by Twins (2002),Twins (2008),None,NULL,2002
Sergio Santos,Southern California,10,6-3,190,R/R,"Hacienda Heights, CA",Rd 1 by Diamondbacks (2002),White Sox (2010),Connie Mack Giants,NULL,2002
Jon Lester,Arizona State,11,6-2,190,L/L,"Puyallup, WA",Rd 2 by Red Sox (2002),Red Sox (2006),None,NULL,2002
Jeff Clement,Southern California,12,6-1,200,L/R,"Marshalltown, IA",Rd 1 by Mariners (2005),Mariners (2007),HS Team,NULL,2002
Scott Moore,Cal State Fullerton,13,6-2,180,None,"Long Beach, CA",Rd 1 by Tigers (2002),Cubs (2006),Connie Mack,NULL,2002
James Loney,Baylor,14,6-2,180,L/L,"Missouri City, TX",Rd 1 by Dodgers (2002),Dodgers (2006),None,NULL,2002
Matt Whitney,Clemson,15,6-4,190,R/R,"Palm Beach Gardens, FL",Rd 1 by Indians (2002),None,None,NULL,2002
Micah Owings,Tulane,16,6-3,205,R/R,"Gainesville, GA",Rd 2 by Rockies (2002),Diamondbacks (2007),None,NULL,2002
Zach Hammes,Iowa,17,6-5,205,R/R,"Iowa City, IA",Rd 2 by Dodgers (2002),None,None,NULL,2002
Mike Pelfrey,Wichita State,18,6-6,190,R/R,"Wichita, KS",Rd 1 by Mets (2005),Mets (2006),None,NULL,2002
Cole Hamels,None,19,6-3,170,L/L,"San Diego, CA",Rd 1 by Phillies (2002),Phillies (2006),None,NULL,2002
Micah Schilling,Louisiana State,20,5-11,185,L/R,"Clinton, LA",Rd 1 by Indians (2002),None,Bill Hood's All Stars,NULL,2002
Christian Madson,Florida,22,6-8,220,R/R,"Valrico, FL",Rd 14 by White Sox (2002),None,None,NULL,2002
John Jr. Mayberry,Stanford,23,6-4,200,R/R,"Overland Park, KS",Rd 1 by Rangers (2005),Phillies (2009),KC Tigers,NULL,2002
Brian McCann,Alabama,24,6-2,190,L/R,"Duluth, GA",Rd 2 by Braves (2002),Braves (2005),None,NULL,2002
Wardell Starling,None,25,6-4,195,R/R,"Missouri City, TX",Rd 4 by Pirates (2002),None,None,NULL,2002
Jason Pridie,Vanderbilt,26,0-0,0,None,"Prescott, AZ",None,None,None,NULL,2002
Brent Clevlen,Texas,27,0-0,0,None,"Cedar Park, TX",None,None,None,NULL,2002
Jake Blalock,Arizona State,28,0-0,0,None,"San Diego, CA",None,None,None,NULL,2002
Ryan Doherty,Notre Dame,29,7-2,225,R/R,"Toms River, NJ",None,None,None,NULL,2002
Clinton Everts,Baylor,31,6-1,175,B/R,"Cypress, TX",Rd 1 by Nationals (2002),None,Angels 18 yr. Elite,NULL,2002
Thomas Wilhelmsen,Arizona State,32,6-6,190,R/R,"Tucson, AZ",Rd 7 by Brewers (2002),Mariners (2011),Legion Post 7,NULL,2002
Adam Donachie,UCF,33,6-2,175,R/R,"Orlando, FL",Rd 2 by Royals (2002),None,None,NULL,2002
Jonathan Broxton,Georgia Southern,34,None,None,None,"Augusta, GA",Rd 2 by Dodgers (2002),Dodgers (2005),None,NULL,2002
Mark Rosen,Miami,35,5-11,200,L/L,"Randolph, MA",Rd 5 by Diamondbacks (2002),None,None,NULL,2002
Mark Romanczuk,Stanford,36,0-0,0,None,"Newark, DE",None,None,None,NULL,2002
Alex Merricks,Arizona State,37,0-0,0,None,"Oxnard, CA",None,None,None,NULL,2002
Steven Doetsch,None,38,6-2,185,R/R,"St. Petersburg, FL",Rd 8 by Phillies (2002),None,Legion,NULL,2002
Hayden Penn,San Diego State,39,0-0,0,None,"Santee, CA",None,None,None,NULL,2002
Kevin Harvey,None,41,0-0,0,None,"Catawba, NC",None,None,None,NULL,2002
Blair Johnson,Nebraska,42,0-0,0,None,"Topeka, KS",None,None,None,NULL,2002
Evan Meek,None,43,6-2,180,R/R,"Bothell, WA",Rd 11 by Twins (2002),Pirates (2008),None,NULL,2002
Josh Johnson,Oklahoma,44,0-0,0,None,"Tulsa, OK",None,None,None,NULL,2002
Jarrad Page,UCLA,45,0-0,0,None,"San Leandro, CA",None,None,None,NULL,2002
Friedel Pinkston,None,46,0-0,0,None,"Hartwell, GA",None,None,None,NULL,2002
Prince Fielder,Arizona State,47,6-1,240,L/R,"Melbourne, FL",Rd 1 by Brewers (2002),Brewers (2005),None,NULL,2002
Romelio Lopez,None,48,None,0,None,"Conroe, TX",None,None,None,NULL,2002
James Guerrero,San Diego State,49,5-9,165,None,"Fontana, CA",None,None,None,NULL,2002
Conor Lalor,South Carolina,50,0-0,0,None,"Germantown, TN",None,None,None,NULL,2002
Joel Zumaya,None,51,0-0,0,None,"Chula Vista, CA",None,None,None,NULL,2002
Clay Dirks,Louisiana State,52,0-0,0,None,"Hernando, MS",None,None,None,NULL,2002
Jesse English,None,53,0-0,0,None,"Vista, CA",None,None,None,NULL,2002
Ryan Harvey,Florida,1,6-5,192,R/R,"Palm Harbor, FL",Rd 1 by Cubs (2003),None,None,NULL,2003
