,player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year,school,school_id
0,Scott Kazmir,Texas,1,6-0,175,L/L,"Houston, TX",Rd 1 by Mets (2002),Rays (2004),ildcats,,2002,Texas,703.0
1,BJ (Melvin) Upton,Florida St.,2,6-3,175,R/R,"Chesapeake, VA",Rd 1 by Rays (2002),Rays (2004),None,,2002,Florida St.,234.0
3,Christopher Gruler,Arizona St.,4,6-3,195,R/R,"Brentwood, CA",Rd 1 by Reds (2002),None,Nor Cal,,2002,Arizona St.,28.0
4,Zack Greinke,Clemson,5,6-2,185,R/R,"Apopka, FL",Rd 1 by Royals (2002),Royals (2004),None,,2002,Clemson,147.0
5,Jason Neighborgall,Georgia Tech,6,6-5,190,R/R,"Hillsborough, NC",Rd 3 by Diamondbacks (2005),None,None,,2002,Georgia Tech,255.0
6,Mark McCormick,Baylor,7,6-2,195,R/R,"Clear Lake Shore, TX",Rd 1 by Cardinals (2005),None,None,,2002,Baylor,51.0
7,Jeff Francoeur,Clemson,8,6-4,200,R/R,"Lilburn, GA",Rd 1 by Braves (2002),Braves (2005),None,,2002,Clemson,147.0
9,Sergio Santos,Southern California,10,6-3,190,R/R,"Hacienda Heights, CA",Rd 1 by Diamondbacks (2002),White Sox (2010),Connie Mack Giants,,2002,Southern California,657.0
10,Jon Lester,Arizona St.,11,6-2,190,L/L,"Puyallup, WA",Rd 2 by Red Sox (2002),Red Sox (2006),None,,2002,Arizona St.,28.0
11,Jeff Clement,Southern California,12,6-1,200,L/R,"Marshalltown, IA",Rd 1 by Mariners (2005),Mariners (2007),HS Team,,2002,Southern California,657.0
12,Scott Moore,Cal St. Fullerton,13,6-2,180,None,"Long Beach, CA",Rd 1 by Tigers (2002),Cubs (2006),Connie Mack,,2002,Cal St. Fullerton,97.0
13,James Loney,Baylor,14,6-2,180,L/L,"Missouri City, TX",Rd 1 by Dodgers (2002),Dodgers (2006),None,,2002,Baylor,51.0
14,Matt Whitney,Clemson,15,6-4,190,R/R,"Palm Beach Gardens, FL",Rd 1 by Indians (2002),None,None,,2002,Clemson,147.0
15,Micah Owings,Tulane,16,6-3,205,R/R,"Gainesville, GA",Rd 2 by Rockies (2002),Diamondbacks (2007),None,,2002,Tulane,718.0
16,Zach Hammes,Iowa,17,6-5,205,R/R,"Iowa City, IA",Rd 2 by Dodgers (2002),None,None,,2002,Iowa,312.0
17,Mike Pelfrey,Wichita St.,18,6-6,190,R/R,"Wichita, KS",Rd 1 by Mets (2005),Mets (2006),None,,2002,Wichita St.,782.0
19,Micah Schilling,LSU,20,5-11,185,L/R,"Clinton, LA",Rd 1 by Indians (2002),None,Bill Hood's All Stars,,2002,LSU,365.0
20,Christian Madson,Florida,22,6-8,220,R/R,"Valrico, FL",Rd 14 by White Sox (2002),None,None,,2002,Florida,235.0
21,John Jr. Mayberry,Stanford,23,6-4,200,R/R,"Overland Park, KS",Rd 1 by Rangers (2005),Phillies (2009),KC Tigers,,2002,Stanford,674.0
22,Brian McCann,Alabama,24,6-2,190,L/R,"Duluth, GA",Rd 2 by Braves (2002),Braves (2005),None,,2002,Alabama,8.0
24,Jason Pridie,Vanderbilt,26,0-0,0,None,"Prescott, AZ",None,None,None,,2002,Vanderbilt,736.0
25,Brent Clevlen,Texas,27,0-0,0,None,"Cedar Park, TX",None,None,None,,2002,Texas,703.0
26,Jake Blalock,Arizona St.,28,0-0,0,None,"San Diego, CA",None,None,None,,2002,Arizona St.,28.0
27,Ryan Doherty,Notre Dame,29,7-2,225,R/R,"Toms River, NJ",None,None,None,,2002,Notre Dame,513.0
28,Clinton Everts,Baylor,31,6-1,175,B/R,"Cypress, TX",Rd 1 by Nationals (2002),None,Angels 18 yr. Elite,,2002,Baylor,51.0
29,Thomas Wilhelmsen,Arizona St.,32,6-6,190,R/R,"Tucson, AZ",Rd 7 by Brewers (2002),Mariners (2011),Legion Post 7,,2002,Arizona St.,28.0
30,Adam Donachie,UCF,33,6-2,175,R/R,"Orlando, FL",Rd 2 by Royals (2002),None,None,,2002,UCF,128.0
31,Jonathan Broxton,Ga. Southern,34,None,None,None,"Augusta, GA",Rd 2 by Dodgers (2002),Dodgers (2005),None,,2002,Ga. Southern,253.0
32,Mark Rosen,Miami (FL),35,5-11,200,L/L,"Randolph, MA",Rd 5 by Diamondbacks (2002),None,None,,2002,Miami (FL),415.0
33,Mark Romanczuk,Stanford,36,0-0,0,None,"Newark, DE",None,None,None,,2002,Stanford,674.0
34,Alex Merricks,Arizona St.,37,0-0,0,None,"Oxnard, CA",None,None,None,,2002,Arizona St.,28.0
36,Hayden Penn,San Diego St.,39,0-0,0,None,"Santee, CA",None,None,None,,2002,San Diego St.,626.0
38,Blair Johnson,Nebraska,42,0-0,0,None,"Topeka, KS",None,None,None,,2002,Nebraska,463.0
40,Josh Johnson,Oklahoma,44,0-0,0,None,"Tulsa, OK",None,None,None,,2002,Oklahoma,522.0
41,Jarrad Page,UCLA,45,0-0,0,None,"San Leandro, CA",None,None,None,,2002,UCLA,110.0
43,Prince Fielder,Arizona St.,47,6-1,240,L/R,"Melbourne, FL",Rd 1 by Brewers (2002),Brewers (2005),None,,2002,Arizona St.,28.0
45,James Guerrero,San Diego St.,49,5-9,165,None,"Fontana, CA",None,None,None,,2002,San Diego St.,626.0
46,Conor Lalor,South Carolina,50,0-0,0,None,"Germantown, TN",None,None,None,,2002,South Carolina,648.0
48,Clay Dirks,LSU,52,0-0,0,None,"Hernando, MS",None,None,None,,2002,LSU,365.0
50,Ryan Harvey,Florida,1,6-5,192,R/R,"Palm Harbor, FL",Rd 1 by Cubs (2003),None,None,,2003,Florida,235.0
52,Delmon Young,Arizona,3,6-3,195,R/R,"Camarillo, CA",Rd 1 by Rays (2003),Rays (2006),None,,2003,Arizona,29.0
53,Jeff Allison,Arizona,4,6-2,195,R/R,"Peabody, MA",Rd 1 by Marlins (2003),None,Team America,,2003,Arizona,29.0
54,Andrew Miller,North Carolina,5,6-6,185,L/L,"Gainesville, FL",Rd 1 by Tigers (2006),Tigers (2006),None,,2003,North Carolina,457.0
55,Chris Lubanski,Florida St.,6,6-3,180,L/L,"Schwenksville, PA",Rd 1 by Royals (2003),None,None,,2003,Florida St.,234.0
56,Jared Hughes,Santa Clara,7,6-6,220,R/R,"Laguna Niguel, CA",Rd 4 by Pirates (2006),Pirates (2011),None,,2003,Santa Clara,631.0
57,Ryan Sweeney,San Diego St.,8,6-4,205,L/L,"Cedar Rapids, IA",Rd 2 by White Sox (2003),White Sox (2006),None,,2003,San Diego St.,626.0
58,Craig Whitaker,Texas A&M,9,6-4,180,R/R,"Lufkin, TX",None,None,None,,2003,Texas A&M,697.0
59,John Danks,Texas,10,6-2,175,L/L,"Round Rock, TX",Rd 1 by Rangers (2003),White Sox (2007),None,,2003,Texas,703.0
61,Jay Sborz,Arizona St.,12,6-4,220,R/R,"Great Falls, VA",None,Tigers (2010),None,,2003,Arizona St.,28.0
62,Adam Jones,San Diego St.,13,6-1,180,S/R,"Spring Valley, CA",Rd 1 Comp by Mariners (2003),Mariners (2006),None,,2003,San Diego St.,626.0
64,Matt Moses,Clemson,15,6-0,210,L/R,"Richmond, VA",Rd 1 by Twins (2003),None,None,,2003,Clemson,147.0
65,Chad Billingsley,South Carolina,16,6-2,200,S/R,"Defiance, OH",Rd 1 by Dodgers (2003),Dodgers (2006),None,,2003,South Carolina,648.0
66,Sean Rodriguez,FIU,17,6-0,175,R/R,"Miami, FL",Rd 3 by Angels (2003),Angels (2008),None,,2003,FIU,231.0
67,Ian Stewart,Southern California,18,6-3,195,L/R,"Garden Grove, CA",Rd 1 by Rockies (2003),Rockies (2007),None,,2003,Southern California,657.0
68,Jarrod Saltalamacchia,Florida St.,19,6-4,190,S/R,"West Palm Beach, FL",Rd 1 by Braves (2003),Braves (2007),None,,2003,Florida St.,234.0
69,Scott Maine,Miami (FL),20,6-3,170,L/L,"Palm Beach Gardens, FL",Rd 6 by Diamondbacks (2007),Cubs (2010),None,,2003,Miami (FL),415.0
71,Jeff Manship,Notre Dame,22,6-0,170,R/R,"San Antonio, TX",Rd 14 by Twins (2006),None,None,,2003,Notre Dame,513.0
72,Anthony Whittington,Oklahoma St.,23,6-5,220,R/L,"Buffalo, WV",Rd 2 by Angels (2003),None,None,,2003,Oklahoma St.,521.0
73,James Houser,Florida,24,6-4,180,L/L,"Sarasota, FL",Rd 2 by Rays (2003),Marlins (2010),None,,2003,Florida,235.0
74,Jonathan Fulton,Virginia Tech,25,6-4,210,R/R,"Danville, VA",Rd 3 by Marlins (2003),None,Legion,,2003,Virginia Tech,742.0
75,C.J. Bressoud,Alabama,26,6-1,185,R/R,"Kennesaw, GA",Rd 26 by Braves (2003),None,None,,2003,Alabama,8.0
76,Colin Curtis,Arizona St.,27,6-0,195,L/L,"Sammamish, WA",Rd 4 by Yankees (2006),Yankees (2010),None,,2003,Arizona St.,28.0
78,Daniel Bard,North Carolina,29,6-4,185,R/R,"Charlotte, NC",Rd 1 by Red Sox (2006),Red Sox (2009),None,,2003,North Carolina,457.0
81,Drew Stubbs,Texas,32,6-3,185,R/R,"Atlanta, TX",Rd 1 by Reds (2006),None,None,,2003,Texas,703.0
83,Charles Benoit,Oklahoma,34,6-2,224,L/L,"Southlake, TX",Rd 10 by Pirates (2006),None,Dallas Mustangs,,2003,Oklahoma,522.0
