"","college","n","conference","school_id","year","division","conference_id"
"1","Abilene Christian",1,"Southland",2,2021,1,914
"2","Abilene Christian",1,"Southland",2,2018,1,914
"3","Abilene Christian",1,"Southland",2,2020,1,914
"4","Abilene Christian",1,"Southland",2,2019,1,914
"5","Abilene Christian",1,"Southland",2,2016,1,914
"6","Abilene Christian",1,"Lone Star",2,2013,2,868
"7","Abilene Christian",1,"Southland",2,2017,1,914
"8","Abilene Christian",1,"Southland",2,2015,1,914
"9","Abilene Christian",1,"Southland",2,2014,1,914
"10","Alabama",7,"SEC",8,2021,1,911
"11","Alabama",7,"SEC",8,2020,1,911
"12","Alabama",7,"SEC",8,2014,1,911
"13","Alabama",7,"SEC",8,2017,1,911
"14","Alabama",7,"SEC",8,2016,1,911
"15","Alabama",7,"SEC",8,2018,1,911
"16","Alabama",7,"SEC",8,2013,1,911
"17","Alabama",7,"SEC",8,2019,1,911
"18","Alabama",7,"SEC",8,2015,1,911
"19","Arizona",8,"Pac-12",29,2019,1,905
"20","Arizona",8,"Pac-12",29,2015,1,905
"21","Arizona",8,"Pac-12",29,2013,1,905
"22","Arizona",8,"Pac-12",29,2018,1,905
"23","Arizona",8,"Pac-12",29,2017,1,905
"24","Arizona",8,"Pac-12",29,2020,1,905
"25","Arizona",8,"Pac-12",29,2021,1,905
"26","Arizona",8,"Pac-12",29,2014,1,905
"27","Arizona",8,"Pac-12",29,2016,1,905
"28","Arizona State",11,NA,NA,NA,NA,NA
"29","Arkansas",11,"SEC",31,2015,1,911
"30","Arkansas",11,"SEC",31,2020,1,911
"31","Arkansas",11,"SEC",31,2016,1,911
"32","Arkansas",11,"SEC",31,2014,1,911
"33","Arkansas",11,"SEC",31,2021,1,911
"34","Arkansas",11,"SEC",31,2019,1,911
"35","Arkansas",11,"SEC",31,2017,1,911
"36","Arkansas",11,"SEC",31,2018,1,911
"37","Arkansas",11,"SEC",31,2013,1,911
"38","Auburn",6,"SEC",37,2017,1,911
"39","Auburn",6,"SEC",37,2021,1,911
"40","Auburn",6,"SEC",37,2018,1,911
"41","Auburn",6,"SEC",37,2020,1,911
"42","Auburn",6,"SEC",37,2016,1,911
"43","Auburn",6,"SEC",37,2014,1,911
"44","Auburn",6,"SEC",37,2019,1,911
"45","Auburn",6,"SEC",37,2015,1,911
"46","Auburn",6,"SEC",37,2013,1,911
"47","Baylor",1,"Big 12",51,2021,1,25354
"48","Baylor",1,"Big 12",51,2016,1,25354
"49","Baylor",1,"Big 12",51,2015,1,25354
"50","Baylor",1,"Big 12",51,2020,1,25354
"51","Baylor",1,"Big 12",51,2017,1,25354
"52","Baylor",1,"Big 12",51,2018,1,25354
"53","Baylor",1,"Big 12",51,2013,1,25354
"54","Baylor",1,"Big 12",51,2019,1,25354
"55","Baylor",1,"Big 12",51,2014,1,25354
"56","Brigham Young",1,NA,NA,NA,NA,NA
"57","Cal Poly",1,"Big West",90,2018,1,904
"58","Cal Poly",1,"Big West",90,2020,1,904
"59","Cal Poly",1,"Big West",90,2019,1,904
"60","Cal Poly",1,"Big West",90,2014,1,904
"61","Cal Poly",1,"Big West",90,2015,1,904
"62","Cal Poly",1,"Big West",90,2017,1,904
"63","Cal Poly",1,"Big West",90,2021,1,904
"64","Cal Poly",1,"Big West",90,2013,1,904
"65","Cal Poly",1,"Big West",90,2016,1,904
"66","Cal State Fullerton",2,NA,NA,NA,NA,NA
"67","California",2,"Pac-12",107,2019,1,905
"68","California",2,"Pac-12",107,2018,1,905
"69","California",2,"Pac-12",107,2014,1,905
"70","California",2,"Pac-12",107,2020,1,905
"71","California",2,"Pac-12",107,2016,1,905
"72","California",2,"Pac-12",107,2015,1,905
"73","California",2,"Pac-12",107,2017,1,905
"74","California",2,"Pac-12",107,2021,1,905
"75","California",2,"Pac-12",107,2013,1,905
"76","Clemson",14,"ACC",147,2014,1,821
"77","Clemson",14,"ACC",147,2015,1,821
"78","Clemson",14,"ACC",147,2016,1,821
"79","Clemson",14,"ACC",147,2019,1,821
"80","Clemson",14,"ACC",147,2017,1,821
"81","Clemson",14,"ACC",147,2018,1,821
"82","Clemson",14,"ACC",147,2013,1,821
"83","Clemson",14,"ACC",147,2020,1,821
"84","Clemson",14,"ACC",147,2021,1,821
"85","Dallas Baptist",2,NA,NA,NA,NA,NA
"86","Duke",4,"ACC",193,2014,1,821
"87","Duke",4,"ACC",193,2019,1,821
"88","Duke",4,"ACC",193,2016,1,821
"89","Duke",4,"ACC",193,2013,1,821
"90","Duke",4,"ACC",193,2020,1,821
"91","Duke",4,"ACC",193,2018,1,821
"92","Duke",4,"ACC",193,2017,1,821
"93","Duke",4,"ACC",193,2015,1,821
"94","Duke",4,"ACC",193,2021,1,821
"95","East Carolina",1,"AAC",196,2019,1,823
"96","East Carolina",1,"AAC",196,2016,1,823
"97","East Carolina",1,"AAC",196,2020,1,823
"98","East Carolina",1,"AAC",196,2018,1,823
"99","East Carolina",1,"C-USA",196,2014,1,24312
"100","East Carolina",1,"AAC",196,2015,1,823
